Ação;Empresa;ROTanC;ROInvC;RPL;ROA;Margem Líquida;Margem Bruta;Margem EBIT;Giro do Ativo Inicial;Alavancagem Financeira;Passivo/Patrimônio Líquido;Preço/Lucro;Preço/VPA;Preço/Receita Líquida;Preço/FCO;Preço/FCF;Preço/EBIT;Preço/NCAV;Preço/Ativo Total;Preço/Capital Giro;EV/EBIT;EV/EBITDA;EV/Receita Líquida;EV/FCF;EV/FCO;EV/Ativo Total;Dividend Yield
ITSA3;ITAUSA;0,11;0,12;0,19;0,14;1,87;0,30;1,91;0,07;1,29;0,29;7,63;1,31;14,27;224,63;-116,76;7,46;-6,23;1,01;15,35;7,86;7,24;15,04;-123,01;236,66;1,06;0,07
FESA4;FERBASA;0,03;0,03;0,07;0,06;0,11;0,20;0,07;0,51;1,28;0,28;11,89;0,83;1,27;15,36;-37,14;18,43;10,52;0,65;2,33;22,06;8,90;1,52;-44,45;18,39;0,77;0,06
TASA4;TAURUS ARMAS;0,09;0,09;0,07;0,04;0,05;0,33;0,11;0,84;1,94;0,94;16,38;1,09;0,75;7,27;19,24;6,80;-1,76;0,56;3,41;9,31;7,69;1,03;26,34;9,96;0,77;0,03
EUCA4;EUCATEX;0,08;0,09;0,19;0,10;0,15;0,33;0,14;0,68;1,72;0,72;3,34;0,54;0,51;3,12;4,99;3,57;-1,28;0,31;1,78;5,71;3,48;0,82;8,00;5,00;0,50;0,06
ITSA4;ITAUSA;0,11;0,12;0,19;0,14;1,87;0,30;1,91;0,07;1,29;0,29;7,63;1,31;14,29;224,84;-116,87;7,47;-6,24;1,01;15,37;7,86;7,24;15,04;-123,01;236,66;1,06;0,07
CRFB3;CARREFOUR BR;0,05;0,07;0,00;0,00;0,00;0,19;0,03;1,30;4,65;3,65;-240,23;0,78;0,14;2,81;4,35;4,32;-0,21;0,17;-7,55;8,71;5,71;0,28;8,77;5,66;0,34;0,00
BMOB3;BEMOBI TECH;0,52;0,13;0,11;0,09;0,08;0,23;0,08;1,05;1,27;0,27;11,23;1,12;0,92;9,28;14,13;11,61;3,72;0,88;1,95;9,18;5,92;0,73;11,17;7,34;0,69;0,03
CEAB3;CEA MODAS;0,09;0,12;0,10;0,03;0,04;0,54;0,09;0,82;2,74;1,74;13,53;1,20;0,53;3,71;4,78;5,70;-0,85;0,44;3,59;6,78;3,22;0,63;5,68;4,40;0,52;0,00
INTB3;INTELBRAS;0,21;0,18;0,23;0,12;0,13;0,31;0,13;0,91;1,99;0,99;11,83;2,42;1,55;11,36;15,48;12,05;-14,31;1,21;2,94;11,45;9,87;1,47;14,71;10,79;1,15;0,03
CAMB3;CAMBUCI;0,22;0,24;0,37;0,20;0,17;0,49;0,22;1,20;1,41;0,41;6,80;1,89;1,14;4,01;4,80;5,29;-155,77;1,34;4,80;5,32;4,71;1,15;4,83;4,03;1,35;0,04
